Date received,Product,Sub-product,Issue,Company,State,ZIP code,Tags,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,Processing Days
2012-03-18,Credit card,,Credit line increase/decrease,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92692.0,,Web,3/19/12,Closed without relief,Yes,No,19105,1 days 00:00:00.000000000
2012-05-17,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",JPMORGAN CHASE & CO.,CA,95212.0,,Postal mail,5/24/12,Closed with explanation,Yes,Yes,82540,7 days 00:00:00.000000000
2012-03-08,Student loan,Non-federal student loan,Repaying your loan,"Navient Solutions, LLC.",KY,41072.0,,Web,3/16/12,Closed without relief,Yes,Yes,32135,8 days 00:00:00.000000000
2012-03-23,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",WELLS FARGO & COMPANY,MI,48036.0,,Web,3/28/12,Closed without relief,Yes,No,40492,5 days 00:00:00.000000000
2012-03-26,Mortgage,Other mortgage,"Loan servicing, payments, escrow account","BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92223.0,,Referral,3/26/12,Closed without relief,Yes,No,41135,0 days 00:00:00.000000000
2012-03-14,Bank account or service,Checking account,"Account opening, closing, or management","SANTANDER BANK, NATIONAL ASSOCIATION",MA,2492.0,,Referral,3/16/12,Closed with relief,Yes,No,35252,2 days 00:00:00.000000000
2012-03-14,Credit card,,Identity theft / Fraud / Embezzlement,DISCOVER BANK,GA,30066.0,,Referral,3/16/12,Closed without relief,Yes,No,17573,2 days 00:00:00.000000000
2012-03-13,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,MI,48021.0,,Web,3/23/12,Closed without relief,Yes,No,34302,10 days 00:00:00.000000000
2012-03-26,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",OCWEN LOAN SERVICING LLC,LA,70058.0,,Web,3/27/12,Closed without relief,Yes,No,23650,1 days 00:00:00.000000000
2012-03-05,Bank account or service,Checking account,"Account opening, closing, or management",PNC Bank N.A.,PA,18507.0,,Web,3/06/12,Closed with relief,Yes,No,30136,1 days 00:00:00.000000000
2012-03-02,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",WELLS FARGO & COMPANY,MD,21214.0,,Web,4/06/12,Closed with explanation,Yes,Yes,29462,35 days 00:00:00.000000000
2012-03-27,Credit card,,Payoff process,WELLS FARGO & COMPANY,VA,22485.0,Older American,Referral,3/29/12,Closed without relief,Yes,No,41435,2 days 00:00:00.000000000
2012-03-09,Credit card,,Transaction issue,"CITIBANK, N.A.",IL,62450.0,,Referral,3/12/12,Closed without relief,Yes,No,33086,3 days 00:00:00.000000000
2012-03-02,Credit card,,Billing disputes,DISCOVER BANK,CO,80906.0,,Web,3/02/12,Closed without relief,Yes,No,29259,0 days 00:00:00.000000000
2012-03-09,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure","CITIBANK, N.A.",MI,48301.0,,Web,3/09/12,Closed with explanation,No,No,32809,0 days 00:00:00.000000000
2012-03-15,Student loan,Non-federal student loan,Repaying your loan,"Navient Solutions, LLC.",MA,2132.0,,Web,3/16/12,Closed without relief,Yes,No,35952,1 days 00:00:00.000000000
2012-03-01,Bank account or service,Cashing a check without an account,"Account opening, closing, or management","BANK OF AMERICA, NATIONAL ASSOCIATION",MO,64440.0,,Web,3/01/12,Closed without relief,Yes,No,28901,0 days 00:00:00.000000000
2012-03-01,Bank account or service,Checking account,Problems caused by my funds being low,JPMORGAN CHASE & CO.,CA,93534.0,,Web,3/02/12,Closed without relief,Yes,No,29082,1 days 00:00:00.000000000
2012-03-26,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure","MUFG UNION BANK, NATIONAL ASSOCIATION",CA,92703.0,,Web,3/27/12,Closed without relief,Yes,No,41253,1 days 00:00:00.000000000
2012-03-05,Mortgage,Other mortgage,"Loan servicing, payments, escrow account","CITIBANK, N.A.",VA,23139.0,,Referral,3/05/12,Closed without relief,Yes,No,30279,0 days 00:00:00.000000000
2012-02-28,Credit card,,Billing disputes,CAPITAL ONE FINANCIAL CORPORATION,PA,19148.0,,Referral,3/01/12,Closed without relief,Yes,Yes,28727,
2012-03-02,Credit card,,Transaction issue,"BANK OF AMERICA, NATIONAL ASSOCIATION",MA,2631.0,Older American,Web,3/06/12,Closed with relief,Yes,No,29659,4 days 00:00:00.000000000
